tau,samples_per_state,repeat,resolved_count
1.0,5000,0,8
1.0,5000,1,8
1.0,5000,2,8
1.0,5000,3,8
1.0,5000,4,8
1.0,5000,5,8
1.0,5000,6,8
1.0,5000,7,8
1.0,5000,8,8
1.0,5000,9,8
1.0,5000,10,8
1.0,5000,11,8
1.0,5000,12,8
1.0,5000,13,8
1.0,5000,14,8
1.0,5000,15,8
1.0,5000,16,8
1.0,5000,17,8
1.0,5000,18,8
1.0,5000,19,8
1.0,5000,20,8
1.0,5000,21,8
1.0,5000,22,8
1.0,5000,23,8
1.0,5000,24,8
1.0,5000,25,8
1.0,5000,26,8
1.0,5000,27,9
1.0,5000,28,8
1.0,5000,29,8
1.0,5000,30,8
1.0,5000,31,8
1.0,5000,32,8
1.0,5000,33,8
1.0,5000,34,8
1.0,5000,35,8
1.0,5000,36,8
1.0,5000,37,8
1.0,5000,38,8
1.0,5000,39,8
1.0,5000,40,8
1.0,5000,41,8
1.0,5000,42,8
1.0,5000,43,8
1.0,5000,44,8
1.0,5000,45,8
1.0,5000,46,8
1.0,5000,47,8
1.0,5000,48,8
1.0,5000,49,8
1.0,5000,50,9
1.0,5000,51,8
1.0,5000,52,8
1.0,5000,53,8
1.0,5000,54,8
1.0,5000,55,8
1.0,5000,56,8
1.0,5000,57,8
1.0,5000,58,8
1.0,5000,59,8
1.0,5000,60,8
1.0,5000,61,8
1.0,5000,62,8
1.0,5000,63,8
1.0,5000,64,9
1.0,5000,65,8
1.0,5000,66,8
1.0,5000,67,8
1.0,5000,68,8
1.0,5000,69,8
1.0,5000,70,8
1.0,5000,71,8
1.0,5000,72,8
1.0,5000,73,8
1.0,5000,74,8
1.0,5000,75,8
1.0,5000,76,8
1.0,5000,77,8
1.0,5000,78,8
1.0,5000,79,8
1.0,5000,80,9
1.0,5000,81,8
1.0,5000,82,8
1.0,5000,83,8
1.0,5000,84,8
1.0,5000,85,8
1.0,5000,86,8
1.0,5000,87,8
1.0,5000,88,8
1.0,5000,89,8
1.0,5000,90,8
1.0,5000,91,8
1.0,5000,92,8
1.0,5000,93,8
1.0,5000,94,8
1.0,5000,95,8
1.0,5000,96,8
1.0,5000,97,8
1.0,5000,98,8
1.0,5000,99,8
