model,samples_per_state,repeat,observed_micro_ei_bits,observed_macro_ei_bits,observed_delta_ei_bits,null_micro_ei_bits,null_macro_ei_bits,null_delta_ei_bits
eta_0,500,54,0.9351907115160237,0.8669487739580768,-0.06824193755794694,0.06600384679603606,0.0018739240873193066,-0.06412992270871676
eta_0,500,55,0.9286381624982608,0.8593123356606804,-0.06932582683758037,0.06942158215019749,0.0009778708680397291,-0.06844371128215776
eta_0,500,56,0.9265587024821014,0.8564109572249097,-0.0701477452571917,0.06761288535201697,0.0012320373061107818,-0.06638084804590619
eta_0,500,57,0.923825376541125,0.8540840035694686,-0.06974137297165639,0.06732530524119158,0.0017221866495594172,-0.06560311859163216
eta_0,500,58,0.9278084066794552,0.8589757082619918,-0.06883269841746342,0.06719822168310015,0.001705014909186398,-0.06549320677391375
eta_0,500,59,0.9274365236379438,0.8577145937901444,-0.06972192984779946,0.06674638329267789,0.0016994545580368068,-0.06504692873464109
eta_0,500,60,0.9271395300292871,0.8624881986010342,-0.06465133142825286,0.068060560190856,0.0017983204569051927,-0.06626223973395082
eta_0,500,61,0.916916702958514,0.8454037147652254,-0.07151298819328866,0.06601796788536035,0.0014596201279765777,-0.06455834775738377
eta_0,500,62,0.9463652540322972,0.8779052801531311,-0.06845997387916614,0.06756630165011702,0.0014682983096778782,-0.06609800334043915
eta_0,500,63,0.9314385574684133,0.8635529126456222,-0.06788564482279114,0.0660338871968042,0.0013430083159381126,-0.06469087888086608
eta_0,500,64,0.9372923898742851,0.8700139902862687,-0.0672783995880164,0.06466558181707033,0.001518399083218457,-0.06314718273385186
eta_0,500,65,0.9279437620801526,0.8586280029684739,-0.06931575911167875,0.06908619769861656,0.0011493567248353795,-0.06793684097378118
eta_0,500,66,0.918826589234993,0.8510510944962035,-0.06777549473878952,0.06928125992482813,0.0015147977398809512,-0.06776646218494718
eta_0,500,67,0.9151475469679734,0.8442576107741666,-0.07088993619380679,0.0665256332894852,0.001666422954365291,-0.0648592103351199
eta_0,500,68,0.9440078412866327,0.8769421707777865,-0.06706567050884626,0.06905104135928408,0.0013456091302865036,-0.06770543222899758
eta_0,500,69,0.9212287600620988,0.8520116567207626,-0.06921710334133613,0.06793460139840517,0.0016285736607473825,-0.06630602773765779
eta_0,500,70,0.929165587923955,0.8591922067095655,-0.06997338121438945,0.06568724262075738,0.001333098366972639,-0.06435414425378475
eta_0,500,71,0.9242732585824364,0.856875387354678,-0.06739787122775831,0.06766173890130395,0.0010364153669824437,-0.0666253235343215
eta_0,500,72,0.9345918421889108,0.8665370096616974,-0.06805483252721334,0.0675948231722302,0.0010675905274117998,-0.0665272326448184
eta_0,500,73,0.9195389088650653,0.8493973634407566,-0.07014154542430873,0.06376704308648602,0.0013568596977650725,-0.06241018338872095
eta_0,500,74,0.9262198096946563,0.8555518394958392,-0.0706679701988171,0.06748455875310237,0.001422414178429675,-0.0660621445746727
eta_0,500,75,0.9170781751696152,0.8501051045366591,-0.0669730706329561,0.06861127928538253,0.0018125220458940932,-0.06679875723948844
eta_0,500,76,0.9218230818841228,0.854979737632221,-0.06684334425190175,0.06389778441515967,0.001198405383564597,-0.06269937903159507
eta_0,500,77,0.9213529174129115,0.8508223818659523,-0.0705305355469592,0.0680705341123473,0.0019219176310086663,-0.06614861648133863
eta_0,500,78,0.9214720805801866,0.8534897201051272,-0.06798236047505934,0.06984058681164783,0.0014288702140550858,-0.06841171659759274
eta_0,500,79,0.9431882000737556,0.8737481381899724,-0.06944006188378316,0.06898553753854934,0.0011507584240602951,-0.06783477911448905
eta_0,500,80,0.929898933207841,0.8608484684292048,-0.06905046477863619,0.06935673401403834,0.0018538013261807451,-0.06750293268785759
eta_0,500,81,0.9335892544841488,0.8636334704703181,-0.06995578401383062,0.06646701180695383,0.0014677934969403858,-0.06499921831001344
eta_0,500,82,0.9231222112852856,0.8560038416640854,-0.06711836962120021,0.06699577359402399,0.0015232534779227752,-0.06547252011610122
eta_0,500,83,0.9269074102255118,0.8572999892595119,-0.06960742096599992,0.06861764381608855,0.001358172352004832,-0.06725947146408372
eta_0,500,84,0.9186942700009068,0.8504802723267009,-0.06821399767420588,0.0694964050113333,0.0014651529809349153,-0.06803125203039839
eta_0,500,85,0.9311312961894918,0.8599536652997526,-0.07117763088973916,0.0676075701605183,0.002322350687363171,-0.06528521947315513
eta_0,500,86,0.9163109887088424,0.8480732551306349,-0.0682377335782075,0.07069291594558692,0.0015196600031843798,-0.06917325594240255
eta_0,500,87,0.9174637380192491,0.8500501658566617,-0.06741357216258737,0.06762063750169206,0.001693479962952047,-0.06592715753874001
eta_0,500,88,0.922545373818541,0.8533315768891657,-0.06921379692937524,0.06840256695213619,0.0014115790586537698,-0.06699098789348241
eta_0,500,89,0.9199993133880516,0.8491454405728838,-0.07085387281516786,0.06644696968783899,0.0014287683302293022,-0.06501820135760969
eta_0,500,90,0.9263389175451501,0.8579178907967131,-0.06842102674843697,0.06703073598893707,0.0015396942124762448,-0.06549104177646083
eta_0,500,91,0.9224577957321337,0.8503784693110263,-0.07207932642110737,0.06938249516533733,0.0018623744396146038,-0.06752012072572272
