model,samples_per_state,repeat,discovered_ari_to_hidden_families,discovered_group_count,discovered_min_group_size,discovered_max_group_size,discovered_population_closure_tv,hidden_population_closure_tv,discovered_heldout_closure_tv,hidden_heldout_closure_tv,random_median_heldout_closure_tv,random_best_heldout_closure_tv,discovered_heldout_macro_log_loss,hidden_heldout_macro_log_loss,random_median_heldout_macro_log_loss
eta_0,500,10,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.04025848868175765,0.04025848868175765,0.17005410841100754,0.14750737905015535,1.4857265895281593,1.4857265895281595,2.0492758846838566
eta_0,500,11,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.03595395028850421,0.03595395028850421,0.17027851753217932,0.14534079560585886,1.4921049583707335,1.4921049583707335,2.052235814612987
eta_0,500,12,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.04128248446515756,0.04128248446515756,0.17032073901464712,0.1452063914780293,1.496723035215365,1.496723035215365,2.0533984601998894
eta_0,500,13,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.04077477252552152,0.04077477252552152,0.1731412144917887,0.12977690856635596,1.4818352314454701,1.4818352314454701,2.0513117107690855
eta_0,500,14,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.04170955392809587,0.04170955392809587,0.16851034731469153,0.13615853861517976,1.4982401770904328,1.4982401770904332,2.0541871135924925
eta_0,500,15,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.0442513870395029,0.0442513870395029,0.17542166000887707,0.15061118508655127,1.4900376631314851,1.4900376631314853,2.048834561214269
eta_0,500,16,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.041656374833555256,0.041656374833555256,0.1648810058810475,0.14106333222370174,1.4907706163075807,1.490770616307581,2.054643652110137
eta_0,500,17,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.03760361185086551,0.03760361185086551,0.17400658843763872,0.14737397359076787,1.4857535817883911,1.4857535817883911,2.049304773256777
eta_0,500,18,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.03984847980470484,0.039848479804704844,0.17091269973368842,0.1510000554815801,1.485840051856099,1.4858400518560992,2.0505320186572216
eta_0,500,19,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.04024653240124279,0.04024653240124279,0.17091493286728804,0.14387169884598314,1.4843154289525946,1.4843154289525944,2.05486892238018
eta_0,500,20,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.03947791833111407,0.03947791833111407,0.16990905181979582,0.1473179371948513,1.4880008691037323,1.4880008691037323,2.054961099177322
