model,horizon,requested_k,matching_target,repeat,method,discovered_closure_tv,ari_B16,ari_AA20,ari_L23
ECMunrest,0.05,16,B16,1,spectral,0.011570349307993699,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,2,jump_profile,0.030712349075096235,0.46020058120479823,0.5632745766059349,0.4676746706839852
ECMunrest,0.05,16,B16,2,spectral,0.011570349307993697,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,3,jump_profile,0.03059096332611435,0.3000498521625524,0.4516871661557961,0.30440318450840204
ECMunrest,0.05,16,B16,3,spectral,0.0115703493079937,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,4,jump_profile,0.03105061448786953,0.4430919050517346,0.5727718419836977,0.44966619096829225
ECMunrest,0.05,16,B16,4,spectral,0.011570349307993699,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,5,jump_profile,0.025872862037460434,0.34563090165513993,0.4575681422772086,0.3114068706013518
ECMunrest,0.05,16,B16,5,spectral,0.011570349307993699,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,6,jump_profile,0.02633971389442526,0.2929529648724997,0.40316903645535523,0.28866389540546844
ECMunrest,0.05,16,B16,6,spectral,0.011570349307993699,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,7,jump_profile,0.03271265949686601,0.4193293743131478,0.5070477256126936,0.41228085267450065
ECMunrest,0.05,16,B16,7,spectral,0.0115703493079937,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,8,jump_profile,0.029286189373886752,0.2198010421601137,0.2894348644386795,0.20353554349578207
ECMunrest,0.05,16,B16,8,spectral,0.011570349307993699,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,9,jump_profile,0.023131922553202913,0.44764035368062216,0.6085621304487326,0.4441350680909229
ECMunrest,0.05,16,B16,9,spectral,0.011570349307993699,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,10,jump_profile,0.030360298827384415,0.355623567037494,0.4842959914501284,0.383718250943831
ECMunrest,0.05,16,B16,10,spectral,0.0115703493079937,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,11,jump_profile,0.024703507794165386,0.4500290167468082,0.6048914485492657,0.4357613375058352
ECMunrest,0.05,16,B16,11,spectral,0.0115703493079937,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,12,jump_profile,0.020670337038037584,0.4432093145827843,0.5951814181634567,0.44049972325452674
ECMunrest,0.05,16,B16,12,spectral,0.011570349307993699,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,13,jump_profile,0.025272716242970256,0.3745852770224761,0.5417324017729698,0.3737892209620002
ECMunrest,0.05,16,B16,13,spectral,0.0115703493079937,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,14,jump_profile,0.01988178887908237,0.47234962193275093,0.633526555929011,0.5034639943563121
ECMunrest,0.05,16,B16,14,spectral,0.0115703493079937,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,15,jump_profile,0.02328206129215313,0.46760379564425353,0.6202179077578439,0.4871607420268665
ECMunrest,0.05,16,B16,15,spectral,0.011570349307993699,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,16,jump_profile,0.03193027255345414,0.3996409656135341,0.5563145328336733,0.42197343253724534
ECMunrest,0.05,16,B16,16,spectral,0.0115703493079937,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,17,jump_profile,0.031195079483129183,0.38308113782420566,0.4320735575503076,0.31835533530448784
ECMunrest,0.05,16,B16,17,spectral,0.0115703493079937,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,18,jump_profile,0.03050659205136963,0.46498604766137885,0.5372636580932343,0.41679858313872387
ECMunrest,0.05,16,B16,18,spectral,0.0115703493079937,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,19,jump_profile,0.030858879846172596,0.4325314790452922,0.5211118183747082,0.4008970690588508
ECMunrest,0.05,16,B16,19,spectral,0.0115703493079937,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,20,jump_profile,0.022474750734130862,0.4281341645165943,0.6171486506058996,0.4429822205511092
ECMunrest,0.05,16,B16,20,spectral,0.011570349307993699,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,21,jump_profile,0.021923388386107932,0.3544235871649889,0.49342371055348566,0.3616407653389146
ECMunrest,0.05,16,B16,21,spectral,0.011570349307993699,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,22,jump_profile,0.018320560649049952,0.5001857233377761,0.7138695501900953,0.5461226139516084
ECMunrest,0.05,16,B16,22,spectral,0.011570349307993699,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,23,jump_profile,0.03153384211501043,0.3876218601843055,0.4413211029857266,0.3518532776913719
ECMunrest,0.05,16,B16,23,spectral,0.011570349307993699,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,24,jump_profile,0.030715388305772272,0.35056697199510434,0.4863503932366662,0.3786195317952878
ECMunrest,0.05,16,B16,24,spectral,0.011570349307993699,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,25,jump_profile,0.027585334165191693,0.40559326988664046,0.5672065371629887,0.428807796505391
ECMunrest,0.05,16,B16,25,spectral,0.011570349307993699,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,26,jump_profile,0.017729872299531636,0.41690424283078986,0.5599798023515834,0.4019134972720803
ECMunrest,0.05,16,B16,26,spectral,0.0115703493079937,0.5552154612906844,0.7938492734031768,0.6395767309448354
